Iter 200, dt=5.11e-05, res=1.42e-01
Iter 400, dt=5.11e-05, res=5.06e-02
Iter 600, dt=5.11e-05, res=2.74e-02
Iter 800, dt=5.11e-05, res=1.77e-02
Iter 1000, dt=5.11e-05, res=1.26e-02
Iter 1200, dt=5.11e-05, res=9.54e-03
Iter 1400, dt=5.11e-05, res=7.57e-03
Iter 1600, dt=5.11e-05, res=6.20e-03
Iter 1800, dt=5.11e-05, res=5.21e-03
Iter 2000, dt=5.11e-05, res=4.45e-03
Iter 2200, dt=5.11e-05, res=3.86e-03
Iter 2400, dt=5.11e-05, res=3.40e-03
Iter 2600, dt=5.11e-05, res=3.02e-03
Iter 2800, dt=5.11e-05, res=2.70e-03
Iter 3000, dt=5.11e-05, res=2.44e-03
Iter 3200, dt=5.11e-05, res=2.22e-03
Iter 3400, dt=5.11e-05, res=2.03e-03
Iter 3600, dt=5.11e-05, res=1.86e-03
Iter 3800, dt=5.11e-05, res=1.72e-03
Iter 4000, dt=5.11e-05, res=1.59e-03
Iter 4200, dt=5.11e-05, res=1.48e-03
Iter 4400, dt=5.11e-05, res=1.38e-03
Iter 4600, dt=5.11e-05, res=1.29e-03
Iter 4800, dt=5.11e-05, res=1.21e-03
Iter 5000, dt=5.11e-05, res=1.14e-03
Iter 5200, dt=5.11e-05, res=1.08e-03
Iter 5400, dt=5.11e-05, res=1.02e-03
Iter 5600, dt=5.11e-05, res=9.62e-04
Iter 5800, dt=5.11e-05, res=9.12e-04
Iter 6000, dt=5.11e-05, res=8.67e-04
Iter 6200, dt=5.11e-05, res=8.25e-04
Iter 6400, dt=5.11e-05, res=7.86e-04
Iter 6600, dt=5.11e-05, res=7.50e-04
Iter 6800, dt=5.11e-05, res=7.16e-04
Iter 7000, dt=5.11e-05, res=6.85e-04
Iter 7200, dt=5.11e-05, res=6.56e-04
Iter 7400, dt=5.11e-05, res=6.29e-04
Iter 7600, dt=5.11e-05, res=6.04e-04
Iter 7800, dt=5.11e-05, res=5.80e-04
Iter 8000, dt=5.11e-05, res=5.58e-04
Iter 8200, dt=5.11e-05, res=5.37e-04
Iter 8400, dt=5.11e-05, res=5.17e-04
Iter 8600, dt=5.11e-05, res=4.99e-04
Iter 8800, dt=5.11e-05, res=4.81e-04
Iter 9000, dt=5.11e-05, res=4.65e-04
Iter 9200, dt=5.11e-05, res=4.49e-04
Iter 9400, dt=5.11e-05, res=4.34e-04
Iter 9600, dt=5.11e-05, res=4.20e-04
Iter 9800, dt=5.11e-05, res=4.07e-04
Iter 10000, dt=5.11e-05, res=3.96e-04
Iter 10200, dt=5.11e-05, res=3.87e-04
Iter 10400, dt=5.11e-05, res=3.78e-04
Iter 10600, dt=5.11e-05, res=3.69e-04
Iter 10800, dt=5.11e-05, res=3.60e-04
Iter 11000, dt=5.11e-05, res=3.52e-04
Iter 11200, dt=5.11e-05, res=3.44e-04
Iter 11400, dt=5.11e-05, res=3.37e-04
Iter 11600, dt=5.11e-05, res=3.29e-04
Iter 11800, dt=5.11e-05, res=3.22e-04
Iter 12000, dt=5.11e-05, res=3.15e-04
Iter 12200, dt=5.11e-05, res=3.09e-04
Iter 12400, dt=5.11e-05, res=3.02e-04
Iter 12600, dt=5.11e-05, res=2.96e-04
Iter 12800, dt=5.11e-05, res=2.90e-04
Iter 13000, dt=5.11e-05, res=2.84e-04
Iter 13200, dt=5.11e-05, res=2.79e-04
Iter 13400, dt=5.11e-05, res=2.73e-04
Iter 13600, dt=5.11e-05, res=2.68e-04
Iter 13800, dt=5.11e-05, res=2.63e-04
Iter 14000, dt=5.11e-05, res=2.58e-04
Iter 14200, dt=5.11e-05, res=2.53e-04
Iter 14400, dt=5.11e-05, res=2.48e-04
Iter 14600, dt=5.11e-05, res=2.43e-04
Iter 14800, dt=5.11e-05, res=2.39e-04
Iter 15000, dt=5.11e-05, res=2.35e-04
Iter 15200, dt=5.11e-05, res=2.30e-04
Iter 15400, dt=5.11e-05, res=2.26e-04
Iter 15600, dt=5.11e-05, res=2.22e-04
Iter 15800, dt=5.11e-05, res=2.18e-04
Iter 16000, dt=5.11e-05, res=2.15e-04
Iter 16200, dt=5.11e-05, res=2.11e-04
Iter 16400, dt=5.11e-05, res=2.07e-04
Iter 16600, dt=5.11e-05, res=2.04e-04
Iter 16800, dt=5.11e-05, res=2.00e-04
Iter 17000, dt=5.11e-05, res=1.97e-04
Iter 17200, dt=5.11e-05, res=1.94e-04
Iter 17400, dt=5.11e-05, res=1.91e-04
Iter 17600, dt=5.11e-05, res=1.87e-04
Iter 17800, dt=5.11e-05, res=1.84e-04
Iter 18000, dt=5.11e-05, res=1.81e-04
Iter 18200, dt=5.11e-05, res=1.79e-04
Iter 18400, dt=5.11e-05, res=1.76e-04
Iter 18600, dt=5.11e-05, res=1.73e-04
Iter 18800, dt=5.11e-05, res=1.70e-04
Iter 19000, dt=5.11e-05, res=1.68e-04
Iter 19200, dt=5.11e-05, res=1.65e-04
Iter 19400, dt=5.11e-05, res=1.62e-04
Iter 19600, dt=5.11e-05, res=1.60e-04
Iter 19800, dt=5.11e-05, res=1.58e-04
Iter 20000, dt=5.11e-05, res=1.55e-04
N=384 Re=100.0 steps=20000 time=584.085s MLUPS(vort)=5.00 avg_dt=5.11e-05 res=1.55e-04
