Iter 200, dt=4.65e-04, res=4.45e-02
Iter 400, dt=4.65e-04, res=1.62e-02
Iter 600, dt=4.65e-04, res=8.89e-03
Iter 800, dt=4.65e-04, res=5.76e-03
Iter 1000, dt=4.65e-04, res=4.08e-03
Iter 1200, dt=4.65e-04, res=3.09e-03
Iter 1400, dt=4.65e-04, res=2.52e-03
Iter 1600, dt=4.65e-04, res=2.12e-03
Iter 1800, dt=4.65e-04, res=1.81e-03
Iter 2000, dt=4.65e-04, res=1.56e-03
Iter 2200, dt=4.65e-04, res=1.36e-03
Iter 2400, dt=4.65e-04, res=1.20e-03
Iter 2600, dt=4.65e-04, res=1.06e-03
Iter 2800, dt=4.65e-04, res=9.49e-04
Iter 3000, dt=4.65e-04, res=8.51e-04
Iter 3200, dt=4.65e-04, res=7.66e-04
Iter 3400, dt=4.65e-04, res=6.92e-04
Iter 3600, dt=4.65e-04, res=6.27e-04
Iter 3800, dt=4.65e-04, res=5.70e-04
Iter 4000, dt=4.65e-04, res=5.20e-04
Iter 4200, dt=4.65e-04, res=4.75e-04
Iter 4400, dt=4.65e-04, res=4.35e-04
Iter 4600, dt=4.65e-04, res=4.00e-04
Iter 4800, dt=4.65e-04, res=3.68e-04
Iter 5000, dt=4.65e-04, res=3.39e-04
Iter 5200, dt=4.65e-04, res=3.14e-04
Iter 5400, dt=4.65e-04, res=2.90e-04
Iter 5600, dt=4.65e-04, res=2.69e-04
Iter 5800, dt=4.65e-04, res=2.50e-04
Iter 6000, dt=4.65e-04, res=2.33e-04
Iter 6200, dt=4.65e-04, res=2.17e-04
Iter 6400, dt=4.65e-04, res=2.02e-04
Iter 6600, dt=4.65e-04, res=1.89e-04
Iter 6800, dt=4.65e-04, res=1.76e-04
Iter 7000, dt=4.65e-04, res=1.65e-04
Iter 7200, dt=4.65e-04, res=1.55e-04
Iter 7400, dt=4.65e-04, res=1.45e-04
Iter 7600, dt=4.65e-04, res=1.36e-04
Iter 7800, dt=4.65e-04, res=1.28e-04
Iter 8000, dt=4.65e-04, res=1.20e-04
Iter 8200, dt=4.65e-04, res=1.13e-04
Iter 8400, dt=4.65e-04, res=1.07e-04
Iter 8600, dt=4.65e-04, res=1.00e-04
Iter 8800, dt=4.65e-04, res=9.47e-05
Iter 9000, dt=4.65e-04, res=8.93e-05
Iter 9200, dt=4.65e-04, res=8.43e-05
Iter 9400, dt=4.65e-04, res=7.96e-05
Iter 9600, dt=4.65e-04, res=7.52e-05
Iter 9800, dt=4.65e-04, res=7.11e-05
Iter 10000, dt=4.65e-04, res=6.72e-05
Iter 10200, dt=4.65e-04, res=6.36e-05
Iter 10400, dt=4.65e-04, res=6.02e-05
Iter 10600, dt=4.65e-04, res=5.70e-05
Iter 10800, dt=4.65e-04, res=5.40e-05
Iter 11000, dt=4.65e-04, res=5.11e-05
Iter 11200, dt=4.65e-04, res=4.85e-05
Iter 11400, dt=4.65e-04, res=4.59e-05
Iter 11600, dt=4.65e-04, res=4.35e-05
Iter 11800, dt=4.65e-04, res=4.13e-05
Iter 12000, dt=4.65e-04, res=3.91e-05
Iter 12200, dt=4.65e-04, res=3.71e-05
Iter 12400, dt=4.65e-04, res=3.52e-05
Iter 12600, dt=4.65e-04, res=3.34e-05
Iter 12800, dt=4.65e-04, res=3.17e-05
Iter 13000, dt=4.65e-04, res=3.01e-05
Iter 13200, dt=4.65e-04, res=2.86e-05
Iter 13400, dt=4.65e-04, res=2.71e-05
Iter 13600, dt=4.65e-04, res=2.58e-05
Iter 13800, dt=4.65e-04, res=2.45e-05
Iter 14000, dt=4.65e-04, res=2.32e-05
Iter 14200, dt=4.65e-04, res=2.21e-05
Iter 14400, dt=4.65e-04, res=2.10e-05
Iter 14600, dt=4.65e-04, res=1.99e-05
Iter 14800, dt=4.65e-04, res=1.89e-05
Iter 15000, dt=4.65e-04, res=1.80e-05
Iter 15200, dt=4.65e-04, res=1.71e-05
Iter 15400, dt=4.65e-04, res=1.63e-05
Iter 15600, dt=4.65e-04, res=1.56e-05
Iter 15800, dt=4.65e-04, res=1.48e-05
Iter 16000, dt=4.65e-04, res=1.41e-05
Iter 16200, dt=4.65e-04, res=1.35e-05
Iter 16400, dt=4.65e-04, res=1.28e-05
Iter 16600, dt=4.65e-04, res=1.22e-05
Iter 16800, dt=4.65e-04, res=1.16e-05
Iter 17000, dt=4.65e-04, res=1.11e-05
Iter 17200, dt=4.65e-04, res=1.05e-05
Iter 17400, dt=4.65e-04, res=1.00e-05
Iter 17600, dt=4.65e-04, res=9.56e-06
Iter 17800, dt=4.65e-04, res=9.10e-06
Iter 18000, dt=4.65e-04, res=8.67e-06
Iter 18200, dt=4.65e-04, res=8.25e-06
Iter 18400, dt=4.65e-04, res=7.85e-06
Iter 18600, dt=4.65e-04, res=7.47e-06
Iter 18800, dt=4.65e-04, res=7.11e-06
Iter 19000, dt=4.65e-04, res=6.77e-06
Iter 19200, dt=4.65e-04, res=6.44e-06
Iter 19400, dt=4.65e-04, res=6.13e-06
Iter 19600, dt=4.65e-04, res=5.83e-06
Iter 19800, dt=4.65e-04, res=5.55e-06
Iter 20000, dt=4.65e-04, res=5.28e-06
N=128 Re=100.0 steps=20000 time=24.522s MLUPS(vort)=12.95 avg_dt=4.65e-04 res=5.28e-06
