timestamp,N,Re,CFL,tol,jacobi_iters,steps,time_s,avg_dt,MLUPS_vort,res
2025-08-30T18:16:56,128,100.0,0.3,1e-06,80,20000,73.396186,4.650009e-04,4.326,5.277e-06
2025-08-30T18:22:51,256,100.0,0.3,1e-06,80,20000,261.341859,1.153403e-04,4.937,8.573e-05
2025-08-30T18:36:16,384,100.0,0.3,1e-06,80,20000,590.174437,5.112858e-05,4.945,1.551e-04
2025-08-30T19:06:23,512,100.0,0.3,1e-06,80,20000,1414.858032,2.872232e-05,3.677,1.943e-04
2025-08-30T21:20:59,1024,100.0,0.3,1e-06,80,20000,6436.832538,7.166548e-06,3.245,3.805e-04
